Error X;Error Y;Error Fijacion X;Error Fijacion Y
-1.23608;-7.63718;1.34405;-4.34281
-2.95491;-0.50440;-12.68552;-14.52969
-8.24173;-2.50388;0.70371;-2.05916
-2.15448;3.13170;-8.78202;-3.11082
1.61371;-2.55642;-0.01668;2.10073
1.82097;-3.64718;-2.47180;-12.41157
3.03845;-2.18199;3.12834;-0.23557
0.80710;-3.53078;2.57821;0.22637
1.07951;-5.08277;2.65141;-4.36498
0.01334;-5.21026;1.89995;-4.00469
-6.91035;-0.47868;3.34512;-6.91745
4.20224;-2.01205;-3.18170;-3.21684
2.37460;0.17371;3.60192;1.69056
1.50747;-0.79817;0.96718;1.14371
-3.52855;-10.34125;2.58805;-2.24207
1.06724;-4.84997;-5.33284;-9.10797
2.12113;-0.60040;1.50414;-2.28919
-1.09392;-2.35016;1.36073;4.72349
-0.71051;-3.95204;0.01334;-4.44535
-0.74707;-4.67260;-2.01788;-5.61766
2.18476;-2.38083;0.34352;-3.23424
3.54856;2.59959;4.92956;-2.30323
2.60672;-2.37233;1.65422;1.97602
0.21345;-1.91782;-0.77174;-4.08229
4.13355;0.92289;1.95104;-2.72707
2.59472;-3.78021;5.45759;1.06701
3.85070;-1.36075;2.34458;-2.76033
-1.04055;-3.50307;5.13139;2.56357
3.64511;-0.37503;-0.30350;-5.98348
0.29349;-1.43559;3.89191;0.20143
-3.32636;-4.36137;2.09112;-1.02542
1.90768;-2.82130;-5.79767;-3.39692
1.10459;-5.58015;4.55910;-1.52151
4.24893;-2.58850;2.83551;-4.54641
-0.43975;-7.92188;5.22279;2.20050
3.25507;-1.69056;-3.71150;-5.53292
4.31564;3.09301;1.85099;-0.07206
-0.50027;-5.22134;4.21225;2.34473
-0.48385;-4.52036;-0.54029;-4.83335
-2.32124;-5.98625;-1.41769;-5.23816
